id,title,view,label
196,"['tes', 'covid', 'indonesia', 'nambah', 'jiwa']",8021,populer
197,"['kabupaten', 'malang', 'steril', 'covid']",10714,populer
198,"['lantik', 'pju', 'kapolres', 'kapolda', 'tekan', 'tangan', 'covid', 'jatim']",14576,populer
199,"['presiden', 'jokowi', 'tren', 'turun', 'covid', 'jaga']",2016,populer
200,"['menko', 'airlangga', 'double', 'disruption', 'pandemi', 'covid']",5568,populer
201,"['setor', 'data', 'fiktif', 'bantu', 'covid', 'perempuan', 'singapura', 'bui']",7213,populer
202,"['ribu', 'orang', 'positif', 'covid', 'gagal', 'ngemal', 'appbi', 'anak', 'masuk']",7829,populer
203,"['covid', 'landai', 'juta', 'warga', 'jatim', 'jalan', 'vaksinasi']",5322,populer
204,"['kabar', 'angka', 'bor', 'rs', 'rujuk', 'covid', 'kota', 'malang', 'turun']",6741,populer
205,"['video', 'pilu', 'jelang', 'mati', 'rekam', 'pasien', 'covid', 'malaysia']",9117,populer
206,"['vaksinasi', 'covid', 'singapura', 'roket']",9453,populer
207,"['edar', 'dokumen', 'as', 'covid', 'ahli', 'virus', 'klarifikasi']",5752,populer
208,"['ribu', 'ajar', 'kabupaten', 'malang', 'risiko', 'papar', 'covid']",10534,populer
209,"['inspektorat', 'pemkot', 'malang', 'tracing', 'duga', 'pungli', 'makam', 'covid']",8701,populer
210,"['instansi', 'dalam', 'duga', 'pungli', 'makam', 'covid', 'kota', 'malang']",2498,populer
211,"['kabupaten', 'malang', 'cair', 'insentif', 'nakes', 'covid']",9442,populer
212,"['jadi', 'singapura', 'covid', 'tular', 'sayur', 'buah', 'pasar']",12359,populer
213,"['jurus', 'aman', 'covid', 'hang', 'out', 'ala', 'dokter', 'reisa']",6301,populer
214,"['ptm', 'batas', 'efektif', 'edukasi', 'masyarakat', 'prokes', 'covid']",9934,populer
215,"['politikus', 'malaysia', 'puji', 'tangan', 'covid', 'indonesia']",596,populer
216,"['susul', 'anggota', 'grup', 'nik', 'enhypen', 'papar', 'covid']",8903,populer
